Rank;Name;Team;Match;WWCD;Elims;Placement;Total;Survival Time;Max elim range;In Damage;Heal;Headshot;Drive distance;Death;Damage;Assist;Air drop;Moving distance;Region ;Week;Day
1;NGX.LORD;Nigma Galaxy;5;0;17;37;54;6817;118;1020;790;5;29154;5;2531;1;0;41193;PMGC East;Weekday 1;1
2;NVOrder;Nova Esports;5;1;10;36;46;5848;221;1031;353;4;12061;5;1395;6;3;24898;PMGC East;Weekday 1;1
3;NGX.FREAK;Nigma Galaxy;5;0;7;37;44;7091;174;1308;1086;1;26932;5;1047;3;0;39540;PMGC East;Weekday 1;1
4;NVParaboyyy6;Nova Esports;5;1;7;36;43;5987;69;1579;754;1;15950;5;2047;7;0;26788;PMGC East;Weekday 1;1
5;NVJimmyyyyy;Nova Esports;5;1;6;36;42;6029;0;928;400;1;18666;4;1181;3;0;30110;PMGC East;Weekday 1;1
6;NGX.HAMODY;Nigma Galaxy;5;0;3;37;40;6692;84;941;698;0;28746;5;1061;5;0;40608;PMGC East;Weekday 1;1
7;NVKinggg;Nova Esports;5;1;3;36;39;5873;153;975;272;0;18679;4;955;4;0;30313;PMGC East;Weekday 1;1
8;NGX.RAOUF;Nigma Galaxy;5;0;2;37;39;6608;0;1252;991;0;27349;5;1108;4;0;40317;PMGC East;Weekday 1;1
9;4RivalsAppy;4Rivals;5;1;10;25;35;6442;0;1228;660;2;23190;4;1740;4;0;34368;PMGC East;Weekday 1;1
10;STEYuYang;Six Two Eight;5;0;7;26;33;4768;104;1037;350;2;30574;5;1316;3;1;38244;PMGC East;Weekday 1;1
11;4RivalsR1TH;4Rivals;4;1;10;23;33;5152;58;1038;480;4;13258;4;1833;7;0;21173;PMGC East;Weekday 1;1
12;4RivalsEypu1;4Rivals;5;1;8;25;33;5730;0;1136;497;1;25358;4;1057;3;0;34379;PMGC East;Weekday 1;1
13;STE33z;Six Two Eight;5;0;6;26;32;4704;76;1109;539;0;29602;5;1294;5;1;38031;PMGC East;Weekday 1;1
14;STESuNAN;Six Two Eight;5;0;6;26;32;5000;197;1219;652;3;29096;5;1247;4;0;36583;PMGC East;Weekday 1;1
15;STE| Action2A;Stalwart Esports;3;1;9;23;32;4028;100;1006;849;1;24398;3;2320;7;0;31125;PMGC East;Weekday 1;1
16;STEDaoShi;Six Two Eight;5;0;5;26;31;5120;171;1396;658;1;29442;5;1697;3;1;37063;PMGC East;Weekday 1;1
17;STE| Skryy2A;Stalwart Esports;3;1;7;23;30;3946;165;623;657;2;20657;2;909;2;0;27797;PMGC East;Weekday 1;1
18;DXFrankyyy007;D'Xavier;4;0;9;19;28;4821;184;929;836;3;25003;4;1590;3;0;33573;PMGC East;Weekday 1;1
19;STE| Pika2A;Stalwart Esports;3;1;5;23;28;3957;241;616;402;1;22915;2;1295;2;0;30090;PMGC East;Weekday 1;1
20;TJBLon9z;Tong Jia Bao Esports;5;1;7;20;27;4460;0;1166;631;2;21970;5;1508;4;0;29581;PMGC East;Weekday 1;1
21;4RivalsPEMBURU;4Rivals;5;1;2;25;27;6286;0;1408;668;0;18129;5;696;4;0;28302;PMGC East;Weekday 1;1
22;MSC・PONDzai;MS Chonburi;5;0;10;17;27;5653;56;1209;899;0;31269;5;2020;2;2;41452;PMGC East;Weekday 1;1
23;TJBHsir;Tong Jia Bao Esports;5;1;6;20;26;4760;0;874;874;2;16465;4;756;2;0;25375;PMGC East;Weekday 1;1
24;DXTDuccc;D'Xavier;4;0;7;19;26;4696;68;915;682;0;23291;4;1374;6;0;32861;PMGC East;Weekday 1;1
25;STE| Top2A;Stalwart Esports;3;1;3;23;26;3327;38;935;562;0;20407;3;875;1;0;26193;PMGC East;Weekday 1;1
26;R8TxPRESTEGOH;Rico Infinity Team;4;1;7;18;25;4513;0;910;323;2;24166;3;1357;4;0;33304;PMGC East;Weekday 1;1
27;TJBattacker;Tong Jia Bao Esports;5;1;4;20;24;4713;0;710;300;0;21684;4;979;2;0;30556;PMGC East;Weekday 1;1
28;R8TxANAS;Rico Infinity Team;4;1;6;18;24;4724;0;722;566;1;21468;3;1092;6;0;32020;PMGC East;Weekday 1;1
29;TJBManHan;Tong Jia Bao Esports;5;1;3;20;23;4534;0;687;449;0;20140;4;552;2;0;27595;PMGC East;Weekday 1;1
30;DXLamborghini;D'Xavier;4;0;4;19;23;3449;0;935;447;1;18570;4;1078;1;0;25185;PMGC East;Weekday 1;1
31;R8TxFhidan;Rico Infinity Team;4;1;4;18;22;4529;0;651;268;2;22314;3;780;0;1;30164;PMGC East;Weekday 1;1
32;DXRabiz;D'Xavier;4;0;2;19;21;4675;46;839;243;0;24069;4;716;4;0;32908;PMGC East;Weekday 1;1
33;ELCHAPO;Cryptics;4;0;5;15;20;4990;89;730;672;0;39329;4;749;1;0;46929;PMGC East;Weekday 1;1
34;R8TxSKTON;Rico Infinity Team;4;1;2;18;20;4500;0;642;332;0;21744;3;554;3;0;31880;PMGC East;Weekday 1;1
35;MARSHALL;Cryptics;4;0;4;15;19;4954;84;803;912;0;35176;4;647;2;0;43901;PMGC East;Weekday 1;1
36;MSC・PopZ007;MS Chonburi;5;0;2;17;19;6025;0;1411;1134;0;26161;5;1435;6;0;36560;PMGC East;Weekday 1;1
37;SENKU;Cryptics;4;0;3;15;18;4838;290;897;703;0;33377;4;1148;5;0;40998;PMGC East;Weekday 1;1
38;MSC・Jazperr;MS Chonburi;5;0;1;17;18;5181;179;954;521;1;26588;5;401;4;0;34813;PMGC East;Weekday 1;1
39;MSC・TG13;MS Chonburi;5;0;1;17;18;6080;0;741;597;0;27164;5;575;3;0;37720;PMGC East;Weekday 1;1
40;DWG_FAVIAN;Damwon Gaming;4;0;2;15;17;4746;0;626;312;1;24762;4;680;1;0;33411;PMGC East;Weekday 1;1
41;DWG_JUNI;Damwon Gaming;4;0;2;15;17;4583;0;757;692;0;23280;4;715;1;0;30639;PMGC East;Weekday 1;1
42;DRSxĀJū;DRS Gaming;3;0;3;14;17;2720;0;629;363;1;12112;3;607;1;0;17664;PMGC East;Weekday 1;1
43;GDGIDSsatar;Genesis Dogma GIDS;3;0;6;11;17;3577;0;656;280;1;22133;3;1006;2;0;27818;PMGC East;Weekday 1;1
44;RC・Devine;Reject;3;0;3;14;17;3738;8;690;411;1;19533;3;521;1;1;25692;PMGC East;Weekday 1;1
45;DWG_FOREST;Damwon Gaming;4;0;1;15;16;4420;0;821;451;0;26261;4;403;1;0;35083;PMGC East;Weekday 1;1
46;DWG_Ssung;Damwon Gaming;4;0;1;15;16;5048;0;470;877;0;25963;4;319;1;0;34958;PMGC East;Weekday 1;1
47;DRSxNIMÀ;DRS Gaming;3;0;2;14;16;2676;144;667;332;0;15051;3;759;1;0;19581;PMGC East;Weekday 1;1
48;DRSxGYALZEŃ;DRS Gaming;3;0;2;14;16;2920;0;618;401;0;11681;3;410;1;0;17610;PMGC East;Weekday 1;1
49;RC・Duelo;Reject;3;0;2;14;16;3759;31;559;210;0;19357;3;590;2;0;24773;PMGC East;Weekday 1;1
50;LAZY;Cryptics;4;0;0;15;15;4974;0;1071;954;0;34587;4;165;1;0;42859;PMGC East;Weekday 1;1
51;RC・SaRa11;Reject;3;0;1;14;15;3676;22;760;309;0;20149;3;511;0;0;25818;PMGC East;Weekday 1;1
52;RC・ReijiOcO;Reject;3;0;1;14;15;3159;296;642;219;0;16590;3;282;1;0;21862;PMGC East;Weekday 1;1
53;INFINgodTunny;The Infinity;5;0;4;11;15;4476;0;977;424;0;19859;5;763;2;0;29782;PMGC East;Weekday 1;1
54;DRSxMAFIANINJA;DRS Gaming;3;0;0;14;14;3884;0;597;790;0;20664;3;569;2;0;26937;PMGC East;Weekday 1;1
55;GDGIDSBooms;Genesis Dogma GIDS;3;0;3;11;14;3434;105;879;334;1;20098;3;535;1;1;25680;PMGC East;Weekday 1;1
56;INFINnOOzy;The Infinity;5;0;3;11;14;5445;0;1235;711;0;32906;5;787;1;0;41491;PMGC East;Weekday 1;1
57;INFINMELA;The Infinity;5;0;3;11;14;5396;0;902;254;1;31663;5;766;1;0;42018;PMGC East;Weekday 1;1
58;INFINLogan;The Infinity;5;0;2;11;13;5494;38;1014;368;1;27244;5;734;2;0;38796;PMGC East;Weekday 1;1
59;GDGIDSniciL;Genesis Dogma GIDS;3;0;1;11;12;3471;89;476;722;0;24271;3;320;2;0;29687;PMGC East;Weekday 1;1
60;GDGIDSDayboT;Genesis Dogma GIDS;3;0;1;11;12;3497;235;591;410;1;24564;3;230;0;0;29665;PMGC East;Weekday 1;1
61;DEfragSÎR;Deadeyes Guys;5;0;4;5;9;3792;0;1210;335;0;16680;5;597;2;0;23018;PMGC East;Weekday 1;1
62;DEontopSIR;Deadeyes Guys;4;0;4;4;8;3248;0;837;349;0;14198;4;570;0;0;19957;PMGC East;Weekday 1;1
63;DEshifuSIRī;Deadeyes Guys;5;0;3;5;8;4518;0;1048;198;0;16257;5;915;4;0;24717;PMGC East;Weekday 1;1
64;DETuruLoVeSiR;Deadeyes Guys;5;0;3;5;8;5103;0;1094;580;1;16737;5;1254;4;0;27229;PMGC East;Weekday 1;1
65;FaZe•Vintorez;FaZe Clan;3;0;4;1;5;2571;145;675;223;2;11906;3;593;0;0;17967;PMGC East;Weekday 1;1
66;BTRXRyzen;Bigetron RA;3;0;3;1;4;2476;0;375;139;0;11114;3;616;1;0;15831;PMGC East;Weekday 1;1
67;4RVLStonedALL;4Rivals;1;0;1;2;3;1293;70;270;170;0;2140;1;187;0;0;4191;PMGC East;Weekday 1;1
68;FaZe•Korpaiix;FaZe Clan;3;0;2;1;3;2506;16;777;211;0;10733;3;491;1;0;16497;PMGC East;Weekday 1;1
69;FaZe•TonyK;FaZe Clan;3;0;2;1;3;2565;0;791;324;0;11668;3;682;2;0;17341;PMGC East;Weekday 1;1
70;FaZe•MR5;FaZe Clan;3;0;1;1;2;2749;23;580;196;0;12424;3;582;2;0;16898;PMGC East;Weekday 1;1
71;BTRXZuxxy;Bigetron RA;3;0;1;1;2;2363;0;728;157;0;10319;3;235;0;0;14939;PMGC East;Weekday 1;1
72;TSiSHOTzMX;Team Secret;3;0;1;1;2;2570;0;516;262;1;16350;3;129;0;0;21264;PMGC East;Weekday 1;1
73;BCS・Zussy;BC Swell;3;0;1;1;2;2941;0;755;425;1;18213;3;255;1;0;23926;PMGC East;Weekday 1;1
74;BCS・JUSTHlS;BC Swell;3;0;1;1;2;2428;0;226;30;1;14264;3;383;1;0;18728;PMGC East;Weekday 1;1
75;BCS・Skylar;BC Swell;3;0;1;1;2;2902;0;426;123;0;14539;3;237;0;0;19593;PMGC East;Weekday 1;1
76;DEratedSIR;Deadeyes Guys;1;0;0;1;1;1206;0;168;98;0;5580;1;72;0;0;7325;PMGC East;Weekday 1;1
77;BTRXLuxxy;Bigetron RA;3;0;0;1;1;2321;0;553;184;0;12021;3;241;0;0;16133;PMGC East;Weekday 1;1
78;BTRXLiQuiDD;Bigetron RA;3;0;0;1;1;2316;0;370;45;0;10694;3;145;0;0;15597;PMGC East;Weekday 1;1
79;TSJumper01MX;Team Secret;3;0;0;1;1;2540;0;472;328;0;17930;3;222;1;0;22616;PMGC East;Weekday 1;1
80;TSFredo5MX;Team Secret;3;0;0;1;1;2547;0;399;76;0;15654;3;174;0;0;21117;PMGC East;Weekday 1;1
81;TSKiD5MX;Team Secret;3;0;0;1;1;2468;0;460;200;0;15527;3;88;0;0;21088;PMGC East;Weekday 1;1
82;BCS・Crtomato;BC Swell;3;0;0;1;1;3052;0;405;199;0;19917;3;35;0;0;25297;PMGC East;Weekday 1;1
1;STE| Skryy2A;Stalwart Esports;5;1;12;37;49;6721;12;1185;1749;3;26727;4;1624;5;0;38717;PMGC East;Weekday 1;2
2;RC・ReijiOcO;Reject;5;1;10;38;48;6447;248;1035;586;1;34778;4;2129;4;1;45147;PMGC East;Weekday 1;2
3;RC・SaRa11;Reject;5;1;9;38;47;6680;252;1141;814;0;39203;4;1286;1;2;48300;PMGC East;Weekday 1;2
4;STE| Top2A;Stalwart Esports;5;1;9;37;46;5729;269;932;750;1;23576;4;1712;5;0;34938;PMGC East;Weekday 1;2
5;STE| Action2A;Stalwart Esports;5;1;8;37;45;5685;159;1293;851;1;29452;5;1821;4;0;40227;PMGC East;Weekday 1;2
6;RC・Duelo;Reject;5;1;4;38;42;6919;234;838;600;0;47156;4;706;3;0;56045;PMGC East;Weekday 1;2
7;STE| Pika2A;Stalwart Esports;5;1;5;37;42;6586;25;1451;959;1;27275;4;857;0;0;40468;PMGC East;Weekday 1;2
8;RC・Devine;Reject;5;1;1;38;39;4236;0;700;268;1;37551;5;611;1;0;43852;PMGC East;Weekday 1;2
9;TJBLon9z;Tong Jia Bao Esports;3;1;6;31;37;4506;117;876;478;0;12278;3;1159;2;0;18735;PMGC East;Weekday 1;2
10;TJBHsir;Tong Jia Bao Esports;3;1;6;31;37;4582;36;1086;810;1;15477;2;1553;6;1;22405;PMGC East;Weekday 1;2
11;TJBManHan;Tong Jia Bao Esports;3;1;5;31;36;4566;0;953;586;1;13014;2;1004;3;0;20344;PMGC East;Weekday 1;2
12;TJBattacker;Tong Jia Bao Esports;3;1;4;31;35;3480;0;677;252;0;12586;3;864;1;0;18017;PMGC East;Weekday 1;2
13;TSJumper01MX;Team Secret;5;1;7;28;35;5598;0;766;707;0;25098;4;1474;2;0;35629;PMGC East;Weekday 1;2
14;TSiSHOTzMX;Team Secret;5;1;5;28;33;6064;0;815;1297;1;26686;4;894;2;0;38466;PMGC East;Weekday 1;2
15;MSC・PONDzai;MS Chonburi;3;1;5;27;32;4168;283;674;578;2;15940;2;694;2;0;22810;PMGC East;Weekday 1;2
16;TSKiD5MX;Team Secret;5;1;3;28;31;4980;108;797;449;1;29440;5;443;1;0;39418;PMGC East;Weekday 1;2
17;MSC・TG13;MS Chonburi;3;1;3;27;30;3728;46;458;416;0;15863;2;936;4;0;22703;PMGC East;Weekday 1;2
18;TSFredo5MX;Team Secret;5;1;2;28;30;5668;0;859;551;0;25601;4;877;3;0;37290;PMGC East;Weekday 1;2
19;MSC・Jazperr;MS Chonburi;3;1;2;27;29;3517;7;836;635;1;13836;2;644;2;0;20671;PMGC East;Weekday 1;2
20;MSC・PopZ007;MS Chonburi;3;1;2;27;29;2254;0;423;119;0;7188;2;560;3;0;11577;PMGC East;Weekday 1;2
21;R8TxANAS;Rico Infinity Team;4;0;9;19;28;5142;145;928;538;2;17129;4;1581;4;0;27177;PMGC East;Weekday 1;2
22;R8TxFhidan;Rico Infinity Team;4;0;7;19;26;4979;0;1050;572;1;15060;4;1451;2;1;25223;PMGC East;Weekday 1;2
23;BTRXRyzen;Bigetron RA;5;0;5;19;24;5945;0;1400;1362;1;33064;5;1132;6;0;42774;PMGC East;Weekday 1;2
24;BTRXuHighBae;Bigetron RA;5;0;5;19;24;5929;0;1382;948;3;35403;5;1561;2;0;44556;PMGC East;Weekday 1;2
25;R8TxPRESTEGOH;Rico Infinity Team;4;0;4;19;23;3891;119;726;254;1;17959;4;683;3;0;25363;PMGC East;Weekday 1;2
26;R8TxSKTON;Rico Infinity Team;4;0;4;19;23;5017;50;1148;700;1;16768;4;1435;4;2;26684;PMGC East;Weekday 1;2
27;BTRXZuxxy;Bigetron RA;5;0;4;19;23;5616;84;1174;723;1;36771;5;951;2;0;46016;PMGC East;Weekday 1;2
28;LAZY;Cryptics;4;0;9;14;23;4535;69;700;275;3;25691;4;1134;1;0;32878;PMGC East;Weekday 1;2
29;BTRXLuxxy;Bigetron RA;5;0;3;19;22;5518;0;1179;540;0;31430;5;804;2;0;40311;PMGC East;Weekday 1;2
30;GDGIDSBooms;Genesis Dogma GIDS;5;0;8;13;21;5756;0;1402;608;4;24404;5;1777;5;0;34449;PMGC East;Weekday 1;2
31;ELCHAPO;Cryptics;4;0;7;14;21;4544;0;769;271;1;29251;4;1214;2;1;36419;PMGC East;Weekday 1;2
32;DEontopSIR;Deadeyes Guys;3;0;4;16;20;3503;120;594;281;0;18662;3;723;0;0;24126;PMGC East;Weekday 1;2
33;GDGIDSsatar;Genesis Dogma GIDS;5;0;6;13;19;5069;77;933;495;0;27696;5;1925;12;1;35700;PMGC East;Weekday 1;2
34;SENKU;Cryptics;4;0;4;14;18;4203;100;798;262;0;27051;4;1023;1;0;33274;PMGC East;Weekday 1;2
35;NGX.RAOUF;Nigma Galaxy;3;0;7;11;18;3477;61;904;935;1;21973;3;1219;1;0;27624;PMGC East;Weekday 1;2
36;DETuruLoVeSiR;Deadeyes Guys;3;0;2;16;18;3658;28;351;126;0;17102;3;388;1;0;21836;PMGC East;Weekday 1;2
37;GDGIDSDayboT;Genesis Dogma GIDS;5;0;4;13;17;4706;131;848;222;1;28205;5;860;5;0;35771;PMGC East;Weekday 1;2
38;MARSHALL;Cryptics;4;0;3;14;17;4108;7;1118;382;1;25004;4;836;2;0;32652;PMGC East;Weekday 1;2
39;INFINnOOzy;The Infinity;3;0;4;12;16;4012;209;329;349;1;20417;3;582;0;0;27328;PMGC East;Weekday 1;2
40;GDGIDSniciL;Genesis Dogma GIDS;5;0;3;13;16;5591;0;1173;467;0;24754;5;1013;3;0;36247;PMGC East;Weekday 1;2
41;DEshifuSIRī;Deadeyes Guys;3;0;0;16;16;3048;0;673;390;0;15714;3;367;1;0;20040;PMGC East;Weekday 1;2
42;DEfragSÎR;Deadeyes Guys;3;0;0;16;16;2783;0;575;147;0;15838;3;196;1;0;20255;PMGC East;Weekday 1;2
43;INFINMELA;The Infinity;3;0;3;12;15;3279;0;759;511;0;17909;3;383;0;0;24124;PMGC East;Weekday 1;2
44;INFINgodTunny;The Infinity;3;0;3;12;15;3283;11;607;380;0;16260;3;564;2;0;23730;PMGC East;Weekday 1;2
45;NGX.FREAK;Nigma Galaxy;3;0;4;11;15;3574;168;779;763;0;22443;3;740;3;0;28559;PMGC East;Weekday 1;2
46;DRSxMAFIANINJA;DRS Gaming;5;0;8;6;14;4921;156;1139;995;1;34812;5;1076;1;0;43809;PMGC East;Weekday 1;2
47;INFINLogan;The Infinity;3;0;1;12;13;3621;0;737;405;0;18989;3;176;1;0;26544;PMGC East;Weekday 1;2
48;STESuNAN;Six Two Eight;3;0;4;9;13;3105;0;448;721;1;20481;3;591;0;0;25984;PMGC East;Weekday 1;2
49;DRSxGYALZEŃ;DRS Gaming;5;0;7;6;13;5091;110;649;949;2;32124;5;1630;3;0;40312;PMGC East;Weekday 1;2
50;NGX.HAMODY;Nigma Galaxy;3;0;2;11;13;2983;0;532;366;1;19299;3;956;2;0;24434;PMGC East;Weekday 1;2
51;BCS・JUSTHlS;BC Swell;5;0;4;8;12;5039;0;1098;532;0;27931;5;758;0;1;37473;PMGC East;Weekday 1;2
52;DRSxĀJū;DRS Gaming;5;0;6;6;12;4797;0;806;747;0;31578;5;1160;3;0;40088;PMGC East;Weekday 1;2
53;NGX.LORD;Nigma Galaxy;3;0;1;11;12;3245;100;715;513;0;23132;3;363;0;0;29415;PMGC East;Weekday 1;2
54;DWG_FOREST;Damwon Gaming;4;0;3;8;11;4143;0;796;528;0;21895;4;381;1;0;30188;PMGC East;Weekday 1;2
55;STE33z;Six Two Eight;3;0;1;9;10;3362;0;513;506;0;17536;3;339;0;1;23502;PMGC East;Weekday 1;2
56;STEYuYang;Six Two Eight;3;0;1;9;10;3175;0;499;469;0;19216;3;555;3;0;24811;PMGC East;Weekday 1;2
57;DWG_Ssung;Damwon Gaming;4;0;2;8;10;3755;275;677;282;2;20306;4;542;2;0;27699;PMGC East;Weekday 1;2
58;BCS・Zussy;BC Swell;5;0;2;8;10;4796;182;1093;747;1;30760;5;947;1;0;39971;PMGC East;Weekday 1;2
59;BCS・Crtomato;BC Swell;5;0;2;8;10;5061;0;978;668;0;29272;5;880;2;0;39192;PMGC East;Weekday 1;2
60;DRSxNIMÀ;DRS Gaming;5;0;4;6;10;4771;0;1225;1001;0;34879;5;871;4;0;43266;PMGC East;Weekday 1;2
61;STEDaoShi;Six Two Eight;3;0;0;9;9;2290;0;447;215;0;16367;3;115;1;0;20407;PMGC East;Weekday 1;2
62;DWG_FAVIAN;Damwon Gaming;4;0;1;8;9;4233;0;583;296;1;26535;4;286;0;0;34206;PMGC East;Weekday 1;2
63;DWG_JUNI;Damwon Gaming;4;0;1;8;9;3869;206;875;476;1;25596;4;328;2;0;31789;PMGC East;Weekday 1;2
64;BCS・Skylar;BC Swell;5;0;1;8;9;5213;0;945;622;0;29312;5;363;1;0;37743;PMGC East;Weekday 1;2
65;NVParaboyyy6;Nova Esports;3;0;5;3;8;3390;164;588;219;0;12905;3;793;1;0;18663;PMGC East;Weekday 1;2
66;NVOrder;Nova Esports;3;0;5;3;8;3748;289;483;131;0;15123;3;804;1;2;21916;PMGC East;Weekday 1;2
67;FaZe•Vintorez;FaZe Clan;5;0;3;5;8;4982;0;985;252;1;14136;5;652;1;0;25522;PMGC East;Weekday 1;2
68;DXFrankyyy007;D'Xavier;4;0;2;5;7;3173;0;745;84;2;16164;4;668;1;0;22762;PMGC East;Weekday 1;2
69;DXTDuccc;D'Xavier;4;0;2;5;7;3789;134;648;223;0;18951;4;872;0;1;26450;PMGC East;Weekday 1;2
70;FaZe•Korpaiix;FaZe Clan;5;0;1;5;6;4934;0;1084;351;0;19075;5;813;1;0;27725;PMGC East;Weekday 1;2
71;FaZe•TonyK;FaZe Clan;5;0;1;5;6;4328;0;919;158;0;15406;5;615;0;0;24760;PMGC East;Weekday 1;2
72;FaZe•MR5;FaZe Clan;5;0;1;5;6;4989;0;1050;396;1;17143;5;311;0;0;25161;PMGC East;Weekday 1;2
73;DXRabiz;D'Xavier;4;0;0;5;5;3286;0;857;253;0;19120;4;41;1;0;25357;PMGC East;Weekday 1;2
74;DXLamborghini;D'Xavier;4;0;0;5;5;3988;0;799;243;0;20428;4;527;2;0;28022;PMGC East;Weekday 1;2
75;NVKinggg;Nova Esports;3;0;2;3;5;3173;132;600;316;1;13753;3;558;0;0;19215;PMGC East;Weekday 1;2
76;NVJimmyyyyy;Nova Esports;3;0;0;3;3;3471;0;535;275;0;20820;3;418;2;0;26263;PMGC East;Weekday 1;2
77;4RivalsEypu1;4Rivals;3;0;1;1;2;2762;0;474;133;1;11749;3;150;0;0;16096;PMGC East;Weekday 1;2
78;4RivalsAppy;4Rivals;2;0;0;1;1;1730;0;425;41;0;6485;2;86;0;0;10350;PMGC East;Weekday 1;2
79;4RivalsPEMBURU;4Rivals;3;0;0;1;1;3232;0;549;251;0;10429;3;153;0;0;16313;PMGC East;Weekday 1;2
80;4RivalsR1TH;4Rivals;2;0;0;1;1;1663;0;460;92;0;5953;2;65;1;0;9082;PMGC East;Weekday 1;2
81;4RVLStonedALL;4Rivals;2;0;0;0;0;1854;0;414;24;0;8773;2;248;0;0;11310;PMGC East;Weekday 1;2
1;INFINLogan;The Infinity;5;1;12;57;69;6663;135;1019;610;1;25286;4;1911;5;0;38121;PMGC East;Weekday 2;1
2;INFINnOOzy;The Infinity;5;1;10;57;67;5954;0;988;702;0;24382;4;1513;5;0;35424;PMGC East;Weekday 2;1
3;INFINMELA;The Infinity;5;1;9;57;66;6579;99;1039;910;1;26228;4;1997;3;0;38728;PMGC East;Weekday 2;1
4;INFINgodTunny;The Infinity;5;1;9;57;66;6878;56;1314;3410;2;29151;4;2005;4;1;41473;PMGC East;Weekday 2;1
5;DRSxĀJū;DRS Gaming;3;1;6;27;33;3487;0;599;180;1;18402;2;473;2;0;25510;PMGC East;Weekday 2;1
6;NGX.RAOUF;Nigma Galaxy;5;0;3;29;32;5487;24;616;4471;0;14744;5;507;2;0;26284;PMGC East;Weekday 2;1
7;NGX.LORD;Nigma Galaxy;5;0;3;29;32;5612;0;913;499;1;16239;5;921;0;0;28095;PMGC East;Weekday 2;1
8;NGX.HAMODY;Nigma Galaxy;5;0;3;29;32;5183;0;848;498;0;14711;5;892;2;0;25871;PMGC East;Weekday 2;1
9;MSC・Jazperr;MS Chonburi;5;1;7;25;32;5744;0;938;2427;2;26935;4;958;2;0;39604;PMGC East;Weekday 2;1
10;NGX.FREAK;Nigma Galaxy;5;0;2;29;31;5477;7;911;527;0;14962;5;623;2;0;26963;PMGC East;Weekday 2;1
11;TSKiD5MX;Team Secret;3;1;9;21;30;3737;105;823;685;3;24098;2;1343;3;0;30620;PMGC East;Weekday 2;1
12;DRSxNIMÀ;DRS Gaming;3;1;3;27;30;3605;167;432;297;0;17328;2;1017;3;1;23713;PMGC East;Weekday 2;1
13;DRSxMAFIANINJA;DRS Gaming;3;1;2;27;29;3595;0;357;48;0;19750;2;817;3;0;27125;PMGC East;Weekday 2;1
14;DRSxGYALZEŃ;DRS Gaming;3;1;2;27;29;3562;0;432;170;0;13982;2;373;1;0;21936;PMGC East;Weekday 2;1
15;MSC・PONDzai;MS Chonburi;5;1;4;25;29;5405;0;903;632;1;28351;4;1118;2;0;40174;PMGC East;Weekday 2;1
16;MSC・PopZ007;MS Chonburi;5;1;2;25;27;5623;0;717;735;0;27162;4;853;3;0;39596;PMGC East;Weekday 2;1
17;TSiSHOTzMX;Team Secret;3;1;5;21;26;3773;0;454;370;1;20084;2;1109;3;0;28124;PMGC East;Weekday 2;1
18;TSJumper01MX;Team Secret;3;1;5;21;26;3365;3;605;386;2;18677;2;1151;3;1;24577;PMGC East;Weekday 2;1
19;TJBbamboo;Tong Jia Bao Esports;5;0;7;19;26;5182;134;875;249;1;18821;5;1064;3;0;27901;PMGC East;Weekday 2;1
20;TSFredo5MX;Team Secret;3;1;4;21;25;3803;0;970;898;0;23366;2;769;3;0;30241;PMGC East;Weekday 2;1
21;STESuNAN;Six Two Eight;5;0;8;17;25;5510;4;1101;421;2;18885;5;1104;1;1;29687;PMGC East;Weekday 2;1
22;MSC・TG13;MS Chonburi;5;1;0;25;25;5112;0;1169;630;0;28891;5;433;1;0;38480;PMGC East;Weekday 2;1
23;NVParaboyyy6;Nova Esports;5;0;12;12;24;4784;8;1206;562;1;15084;5;2221;4;0;25619;PMGC East;Weekday 2;1
24;TJBLon9z;Tong Jia Bao Esports;5;0;5;19;24;5083;114;1008;417;0;19618;5;1151;1;0;29536;PMGC East;Weekday 2;1
25;TJBattacker;Tong Jia Bao Esports;3;0;4;18;22;3863;155;493;213;1;14251;3;685;2;1;20509;PMGC East;Weekday 2;1
26;STEDaoShi;Six Two Eight;5;0;4;17;21;5542;0;922;255;0;20975;5;1462;2;0;32832;PMGC East;Weekday 2;1
27;STEYuYang;Six Two Eight;5;0;4;17;21;5352;0;1412;511;0;15228;5;684;0;1;27051;PMGC East;Weekday 2;1
28;STE| Top2A;Stalwart Esports;3;1;4;17;21;3609;49;608;403;0;16375;2;778;0;1;23279;PMGC East;Weekday 2;1
29;4RivalsPEMBURU;4Rivals;5;0;6;15;21;5838;183;624;879;1;12202;5;1358;4;0;24858;PMGC East;Weekday 2;1
30;GDGIDSDayboT;Genesis Dogma GIDS;3;0;7;13;20;3393;60;580;546;2;12459;3;1346;2;0;16936;PMGC East;Weekday 2;1
31;TJBHsir;Tong Jia Bao Esports;5;0;1;19;20;4915;0;954;303;1;17201;5;537;2;0;29269;PMGC East;Weekday 2;1
32;STE| Pika2A;Stalwart Esports;3;1;3;17;20;3623;253;565;335;0;13139;2;871;3;0;21105;PMGC East;Weekday 2;1
33;STE| Action2A;Stalwart Esports;3;1;3;17;20;3038;0;548;207;0;15633;3;531;0;0;23043;PMGC East;Weekday 2;1
34;STE| Skryy2A;Stalwart Esports;3;1;3;17;20;3481;49;445;154;0;11935;2;454;3;0;19535;PMGC East;Weekday 2;1
35;STE33z;Six Two Eight;5;0;2;17;19;5413;0;1161;350;0;22315;5;756;2;0;32172;PMGC East;Weekday 2;1
