Mobil;Tahun;Jarak;Tipe;Gearbox;BBM;CC;Warna;Kapasitas;Harga
Toyota;2022;92;Wagon;Manual;Diesel;4461;Beige;5;119980
Toyota;2022;6695;Double Cab Pick Up;Automatic;Diesel;2393;White;5;60990
Mazda;2022;7800;Wagon;Automatic;Unleaded Petrol;2488;Blue;5;40500
Toyota;2022;31;Double Cab Chassis;Manual;Diesel;4461;Grey;5;117990
Toyota;2022;271;Wagon;Automatic;Premium Unleaded/Electric;2487;Red;7;89888
Hyundai;2022;19;Wagon;Automatic;Premium Unleaded Petrol;1998;White;5;57888
Mazda;2022;124;Dual Cab Pick-up;Automatic;Diesel;2999;White;5;59990
Mazda;2022;65;Wagon;Automatic;Unleaded Petrol;2488;Red;7;53212
Mazda;2022;2001;Wagon;Automatic;Diesel;2191;Gold;5;54999
Toyota;2022;201;Wagon;Manual;Diesel;4461;White;5;125990
Toyota;2022;10;Wagon;Automatic;Diesel;3346;White;7;121888
Mazda;2022;6;Wagon;Automatic;Unleaded Petrol;2488;White;7;63988
Mazda;2022;10;Wagon;Manual;Unleaded Petrol;1998;Red;5;29888
Toyota;2022;47;Double Cab Chassis;Manual;Diesel;4461;Red;5;114990
Toyota;2022;6941;Sedan;Automatic;Premium Unleaded/Electric;2487;White;5;44990
Toyota;2022;15;Double Cab Pick Up;Automatic;Diesel;2753;White;5;79990
Isuzu;2022;25;Crew Cab Utility;Automatic;Diesel;2999;Orange;5;65640
Toyota;2022;95;Double Cab Pick Up;Automatic;Diesel;2753;Silver;5;82980
Hyundai;2022;2888;Wagon;Automatic;Diesel;1998;White;5;44990
Hyundai;2022;2188;Wagon;Automatic;Diesel;1998;White;5;49990
Mitsubishi;2022;1512;Double Cab Pick Up;Automatic;Diesel;2442;Orange;5;66798
Hyundai;2022;91;Wagon;Automatic;Unleaded Petrol;1999;White;5;68425
Isuzu;2022;24861;Crew Cab Utility;Automatic;Diesel;2999;White;5;69880
Toyota;2022;1470;Wagon;Automatic;Unleaded Petrol/Electric;2487;Black;5;56988
